var_id_hex,var_id_dec,name,kind,domain,confidence,description
0x65,101,VAR_ENGINE_65,Value,UNCLASSIFIED,low,"[cross_graph] heroes: 拉玛刹, 骇灾, 斩仇 engine_global"
0x6D,109,AIMING,Status,ABILITY_STATE,manual,[csv-only]
0x78,120,VAR_传送面板_78,Value,ABILITY_STATE,low,[sync] 秩序之光/传送面板 @ 技能 2 per_ability
0x7F,127,ABILITY_STATE,Value,ABILITY_STATE,manual,[csv-only]
0x8E,142,VAR_ENGINE_8E,Value,UNCLASSIFIED,low,"[sync] 50 heroes, 8 loadouts engine_global"
0x92,146,VAR_UNKNOWN_92,Status,LIFECYCLE,low,[sync_flag] D.Va/呼叫机甲 @ 技能 3 multi_hero_shared|status_flag
0x9A,154,VAR_ENGINE_9A_FLAG,Status,LIFECYCLE,low,"[sync_flag] 12 heroes, 15 loadouts engine_global|status_flag"
0xA1,161,SNIPER_CHARGE,Value,WEAPON_PARAM,manual,[csv-only]
0xA8,168,VAR_ENGINE_A8_FLAG,Status,LIFECYCLE,low,"[cross_graph_flag] heroes: 狂鼠, 索杰恩, 斩仇, 飞天猫 engine_global|status_flag"
0xA9,169,VAR_弗蕾娅_SHARED_A9,Value,ABILITY_STATE,low,"[sync] 弗蕾娅: 疾冲, 流星索 per_ability"
0xAC,172,VAR_弗蕾娅_SHARED_AC,Status,ABILITY_STATE,low,"[cross_graph_flag] 弗蕾娅: 疾冲, 流星索 per_ability|status_flag"
0xAD,173,VAR_ENGINE_AD_FLAG,Status,LIFECYCLE,low,"[sync_flag] 13 heroes, 14 loadouts engine_global|status_flag"
0xAE,174,VAR_虚空屏障（智械形态）_AE,Value,ABILITY_STATE,low,[sync] 拉玛刹/虚空屏障（智械形态） @ 辅助攻击模式 per_ability
0xB0,176,VAR_ENGINE_B0_FLAG,Status,LIFECYCLE,low,"[sync_flag] 18 heroes, 19 loadouts engine_global|status_flag"
0xB5,181,VAR_ENGINE_B5_FLAG,Status,LIFECYCLE,low,"[sync_flag] 18 heroes, 20 loadouts engine_global|status_flag"
0xC7,199,VAR_ENGINE_C7,Value,UNCLASSIFIED,low,"[sync] 50 heroes, 2 loadouts engine_global"
0xC9,201,WEAPON_CHARGE,Value,WEAPON_PARAM,manual,[csv-only]
0xD7,215,REMAINING_TIME,Value,ABILITY_COOLDOWN,manual,"[sync_chase] 48 heroes, 81 loadouts engine_global; [csv-override]"
0xDD,221,VAR_ENGINE_DD,Value,UNCLASSIFIED,low,[sync] D.Va/防御矩阵 @ 辅助攻击模式 engine_global
0xE6,230,VAR_ENGINE_E6,Value,UNCLASSIFIED,low,"[sync_writable] heroes: 死神, 堡垒, 回声, 西格玛 engine_global"
0xE7,231,VAR_ENGINE_E7,Value,UNCLASSIFIED,low,"[sync] heroes: 堡垒, 回声, 弗蕾娅, 埃姆雷 engine_global"
0xE8,232,WEAPON_CHARGE_ATTACK,Value,WEAPON_PARAM,manual,[sync_flag] 骇灾/尖刺护体 @ 辅助攻击模式 per_ability|status_flag; [csv-override]
0xE9,233,VAR_ENGINE_E9,Value,UNCLASSIFIED,low,"[sync] 6 heroes, 7 loadouts engine_global"
0xF3,243,VAR_ENGINE_F3,Value,UNCLASSIFIED,low,"[sync] heroes: 法老之鹰, 堡垒, 莫伊拉 engine_global"
0xFD,253,VAR_ENGINE_FD,Value,UNCLASSIFIED,low,"[sync] heroes: 托比昂, 伊拉锐 engine_global"
0x105,261,VAR_火箭弹幕_105,Value,ABILITY_STATE,low,[sync] 法老之鹰/火箭弹幕 @ 技能 3 per_ability
0x150,336,VAR_重生_FLAG_150,Status,ABILITY_STATE,low,[sync_flag] 天使/重生 @ 技能 2 per_ability|status_flag
0x152,338,ABILITY_ULT_FRAME_ACTIVE,Status,ABILITY_STATE,manual,"[sync_flag] 50 heroes, 50 loadouts engine_global|status_flag; [csv-override]"
0x156,342,ABILITY_ULT_CAST_HANDLE,Status,ABILITY_STATE,manual,"[sync_flag] 50 heroes, 50 loadouts engine_global|status_flag; [csv-override]"
0x15E,350,VAR_ENGINE_15E,Value,UNCLASSIFIED,low,"[sync] heroes: 死神, 堡垒, 安娜, 埃姆雷 engine_global"
0x15F,351,VAR_恐怖扳机_15F,Value,ABILITY_STATE,low,[sync] 死神/恐怖扳机 @ 辅助攻击模式 per_ability
0x177,375,VAR_ENGINE_177_FLAG,Status,LIFECYCLE,low,"[sync_flag] 50 heroes, 70 loadouts engine_global|status_flag"
0x17A,378,VAR_朱魂返_17A,Value,ABILITY_STATE,low,[sync_writable] 安燃/朱魂返 @ 技能 3 per_ability
0x188,392,VAR_ENGINE_188,Value,UNCLASSIFIED,low,"[sync] heroes: 回声, 拉玛刹, 骇灾, 斩仇 engine_global"
0x189,393,VAR_ENGINE_189,Value,UNCLASSIFIED,low,"[sync_writable] 26 heroes, 17 loadouts engine_global"
0x19E,414,VAR_ENGINE_19E_FLAG,Status,LIFECYCLE,low,"[sync_flag] 17 heroes, 22 loadouts engine_global|status_flag"
0x1A1,417,VAR_ENGINE_1A1,Value,UNCLASSIFIED,low,"[sync] 9 heroes, 7 loadouts engine_global"
0x1A4,420,VAR_ENGINE_1A4_FLAG,Status,LIFECYCLE,low,"[sync_flag] 8 heroes, 8 loadouts engine_global|status_flag"
0x1AF,431,VAR_ENGINE_1AF,Value,UNCLASSIFIED,low,"[sync_chase] 19 heroes, 25 loadouts engine_global"
0x1B0,432,VAR_ENGINE_1B0_FLAG,Status,LIFECYCLE,low,"[sync_flag] 9 heroes, 10 loadouts engine_global|status_flag"
0x1B1,433,VAR_ENGINE_1B1_FLAG,Status,LIFECYCLE,low,"[sync_flag] 5 heroes, 5 loadouts engine_global|status_flag"
0x1B2,434,VAR_ENGINE_1B2,Value,UNCLASSIFIED,low,"[sync] 8 heroes, 8 loadouts engine_global"
0x1B3,435,VAR_ENGINE_1B3_FLAG,Status,LIFECYCLE,low,"[sync_flag] 8 heroes, 9 loadouts engine_global|status_flag"
0x1D1,465,VAR_ENGINE_1D1_FLAG,Status,LIFECYCLE,low,"[sync_flag] 6 heroes, 3 loadouts engine_global|status_flag"
0x1D4,468,VAR_ENGINE_1D4_FLAG,Status,LIFECYCLE,low,"[sync_flag] 49 heroes, 22 loadouts engine_global|status_flag"
0x1D5,469,VAR_ENGINE_1D5,Value,UNCLASSIFIED,low,"[sync_writable] heroes: 狂鼠, D.Va engine_global"
0x1D7,471,VAR_抓钩_FLAG_1D7,Status,ABILITY_STATE,low,[sync_flag] 黑百合/抓钩 @ 技能 1 per_ability|status_flag
0x1D8,472,VAR_ENGINE_1D8_FLAG,Status,LIFECYCLE,low,"[sync_flag] 49 heroes, 110 loadouts engine_global|status_flag"
0x1D9,473,VAR_抓钩_1D9,Value,ABILITY_STATE,low,[sync] 黑百合/抓钩 @ 技能 1 per_ability
0x1DC,476,VAR_ENGINE_1DC_FLAG,Status,LIFECYCLE,low,"[sync_flag] 50 heroes, 30 loadouts engine_global|status_flag"
0x1DD,477,VAR_锯齿利刃（格雷西）_1DD,Value,ABILITY_STATE,low,[sync] 渣客女王/锯齿利刃（格雷西） @ 辅助攻击模式 per_ability
0x1DE,478,VAR_ENGINE_1DE,Value,UNCLASSIFIED,low,"[sync] 23 heroes, 27 loadouts engine_global"
0x1DF,479,VAR_ENGINE_1DF_FLAG,Status,LIFECYCLE,low,"[sync_flag] 18 heroes, 14 loadouts engine_global|status_flag"
0x1E0,480,VAR_ENGINE_1E0,Value,UNCLASSIFIED,low,"[sync] 5 heroes, 5 loadouts engine_global"
0x1E8,488,VAR_ENGINE_1E8_FLAG,Status,LIFECYCLE,low,"[cross_graph_flag] 14 heroes, 14 loadouts engine_global|status_flag"
0x1EB,491,VAR_人格复制_1EB,Value,ABILITY_STATE,low,[sync_writable] 回声/人格复制 @ 技能 3 per_ability
0x1F3,499,VAR_ENGINE_1F3_FLAG,Status,LIFECYCLE,low,"[sync_flag] 50 heroes, 3 loadouts engine_global|status_flag"
0x1F5,501,VAR_ENGINE_1F5_FLAG,Status,LIFECYCLE,low,"[sync_flag] 17 heroes, 21 loadouts engine_global|status_flag"
0x1F6,502,VAR_ENGINE_1F6_FLAG,Status,LIFECYCLE,low,"[sync_flag] 20 heroes, 26 loadouts engine_global|status_flag"
0x200,512,VAR_ENGINE_200_FLAG,Status,LIFECYCLE,low,"[sync_flag] 13 heroes, 15 loadouts engine_global|status_flag"
0x201,513,VAR_ENGINE_201,Value,UNCLASSIFIED,low,"[sync] 18 heroes, 24 loadouts engine_global"
0x202,514,VAR_生化榴弹枪_202,Value,ABILITY_STATE,low,[sync_writable] 巴蒂斯特/生化榴弹枪 @ 主要攻击模式 per_ability
0x208,520,VAR_切换模式_FLAG_208,Status,ABILITY_STATE,low,[local_flag] 堡垒/切换模式 @ 技能 1 per_ability|status_flag
0x212,530,VAR_ENGINE_212,Value,UNCLASSIFIED,low,"[sync] 9 heroes, 10 loadouts engine_global"
0x214,532,VAR_ENGINE_214,Value,UNCLASSIFIED,low,"[sync] 50 heroes, 0 loadouts engine_global"
0x217,535,VAR_天使_GLOBAL_217,Value,UNCLASSIFIED,low,"[sync] 天使: 守护天使, 女武神, 快速治疗 per_hero_global"
0x218,536,VAR_ENGINE_218_FLAG,Status,LIFECYCLE,low,"[sync_flag] 49 heroes, 20 loadouts engine_global|status_flag"
0x221,545,VAR_ENGINE_221,Value,UNCLASSIFIED,low,"[sync_writable] 5 heroes, 6 loadouts engine_global"
0x22F,559,VAR_UNKNOWN_22F,Status,LIFECYCLE,low,"[sync_flag] heroes: 索杰恩, 斩仇, 飞天猫 multi_hero_shared|status_flag"
0x231,561,VAR_ENGINE_231_FLAG,Status,LIFECYCLE,low,"[sync_flag] 7 heroes, 7 loadouts engine_global|status_flag"
0x232,562,VAR_冲锋_232,Value,ABILITY_STATE,low,[sync] 莱因哈特/冲锋 @ 技能 1 per_ability
0x237,567,VAR_ENGINE_237,Value,UNCLASSIFIED,low,"[sync_chase] 41 heroes, 65 loadouts engine_global"
0x238,568,VAR_机动滑铲_238,Value,ABILITY_STATE,low,[sync_writable] 索杰恩/机动滑铲 @ 技能 1 per_ability
0x244,580,VAR_ENGINE_244,Value,UNCLASSIFIED,low,"[sync] heroes: 法老之鹰, 斩仇, 埃姆雷, 飞天猫 engine_global"
0x24A,586,VAR_ENGINE_24A_FLAG,Status,LIFECYCLE,low,"[sync_flag] 8 heroes, 7 loadouts engine_global|status_flag"
0x24B,587,VAR_ENGINE_24B_CHASE,Value,CHASE_VAR,low,"[sync_chase] 9 heroes, 9 loadouts engine_global|chased_numeric"
0x254,596,VAR_ENGINE_254,Value,UNCLASSIFIED,low,"[sync] 50 heroes, 7 loadouts engine_global"
0x255,597,VAR_蛮力冲撞_255,Value,ABILITY_STATE,low,[sync] 毛加/蛮力冲撞 @ 技能 1 per_ability
0x257,599,VAR_ENGINE_257_FLAG,Status,LIFECYCLE,low,"[sync_flag] 6 heroes, 6 loadouts engine_global|status_flag"
0x25C,604,VAR_弗蕾娅_SHARED_25C,Unknown,UNCLASSIFIED,low,[sync] 弗蕾娅:  multi_hero_shared
0x271,625,VAR_炸弹轮胎_FLAG_271,Status,ABILITY_STATE,low,[local_flag] 狂鼠/炸弹轮胎 @ 技能 3 per_ability|status_flag
0x273,627,VAR_UNKNOWN_273,Status,LIFECYCLE,low,"[sync_flag] heroes: 半藏, 堡垒 multi_hero_shared|status_flag"
0x275,629,VAR_尖刺墙_275,Value,ABILITY_STATE,low,[sync] 骇灾/尖刺墙 @ 技能 2 per_ability
0x27A,634,VAR_ENGINE_27A_FLAG,Status,LIFECYCLE,low,"[cross_graph_flag] 10 heroes, 12 loadouts engine_global|status_flag"
0x27C,636,VAR_ENGINE_27C,Value,UNCLASSIFIED,low,"[sync] 8 heroes, 10 loadouts engine_global"
0x28D,653,VAR_天使_SHARED_28D,Value,ABILITY_STATE,low,"[sync] 天使: 重生, 守护天使 per_ability"
0x29E,670,VAR_ENGINE_29E,Value,UNCLASSIFIED,low,"[sync_chase] 33 heroes, 49 loadouts engine_global"
0x2A0,672,VAR_蛮力冲撞_2A0,Value,ABILITY_STATE,low,[sync_writable] 毛加/蛮力冲撞 @ 技能 1 per_ability
0x2A3,675,VAR_ENGINE_2A3,Value,UNCLASSIFIED,low,[sync] 禅雅塔/蹬 @ 快速近身攻击 engine_global
0x2A4,676,VAR_ENGINE_2A4,Value,UNCLASSIFIED,low,[sync] 禅雅塔/蹬 @ 快速近身攻击 engine_global
0x2A8,680,VAR_ENGINE_2A8_FLAG,Status,LIFECYCLE,low,"[sync_flag] 5 heroes, 5 loadouts engine_global|status_flag"
0x2A9,681,ABILITY_SHIFT_SECONDARY,Status,ABILITY_STATE,manual,"[sync_flag] 6 heroes, 6 loadouts engine_global|status_flag; [csv-override]"
0x2AA,682,VAR_ENGINE_2AA_FLAG,Status,LIFECYCLE,low,"[sync_flag] 8 heroes, 8 loadouts engine_global|status_flag"
0x2B1,689,VAR_ENGINE_2B1,Value,UNCLASSIFIED,low,"[sync] 9 heroes, 10 loadouts engine_global"
0x2B2,690,RIGHT_CLICK,Status,ABILITY_STATE,manual,"[sync_flag] 20 heroes, 21 loadouts engine_global|status_flag; [csv-override]"
0x2BB,699,VAR_ENGINE_2BB_FLAG,Status,LIFECYCLE,low,"[sync_flag] 49 heroes, 121 loadouts engine_global|status_flag"
0x2BE,702,VAR_实验屏障_2BE,Value,ABILITY_STATE,low,[sync_writable] 西格玛/实验屏障 @ 辅助攻击模式 per_ability
0x2E7,743,JAVELIN_SPEED,Value,WEAPON_PARAM,manual,[csv-only]
0x301,769,VAR_ENGINE_301,Value,UNCLASSIFIED,low,"[sync] 7 heroes, 3 loadouts engine_global"
0x314,788,VAR_ENGINE_314_FLAG,Status,LIFECYCLE,low,"[sync_flag] 49 heroes, 22 loadouts engine_global|status_flag"
0x34A,842,ULT_ACTIVE,Status,LIFECYCLE,manual,"[sync] 50 heroes, 71 loadouts engine_global; [csv-override]"
0x371,881,VAR_瑞稀_SHARED_371,Unknown,UNCLASSIFIED,low,[sync] 瑞稀:  multi_hero_shared
0x375,885,RAMATTRA_MODE,Value,ABILITY_STATE,manual,[csv-only]
0x378,888,VAR_ENGINE_378,Value,UNCLASSIFIED,low,"[sync] 50 heroes, 9 loadouts engine_global"
0x3AC,940,VAR_人格复制_3AC,Value,ABILITY_STATE,low,[sync] 回声/人格复制 @ 技能 3 per_ability
0x3BB,955,VAR_ENGINE_3BB,Value,UNCLASSIFIED,low,[sync] 艾什/短筒猎枪 @ 技能 1 engine_global
0x3C2,962,VAR_黑影_SHARED_3C2,Unknown,UNCLASSIFIED,low,[sync] 黑影:  multi_hero_shared
0x3CB,971,VAR_ENGINE_3CB_CHASE,Value,CHASE_VAR,low,"[sync_chase] 9 heroes, 9 loadouts engine_global|chased_numeric"
0x3D6,982,VAR_ENGINE_3D6_FLAG,Status,LIFECYCLE,low,"[sync_flag] 50 heroes, 0 loadouts engine_global|status_flag"
0x3D7,983,VAR_ENGINE_3D7,Value,UNCLASSIFIED,low,"[sync] 13 heroes, 14 loadouts engine_global"
0x3D9,985,VAR_ENGINE_3D9_FLAG,Status,LIFECYCLE,low,"[sync_flag] heroes: 死神, 黑影, 雾子, 瑞稀 engine_global|status_flag"
0x3DC,988,VAR_ENGINE_3DC,Value,UNCLASSIFIED,low,"[sync] heroes: 莱因哈特, 骇灾, 朱诺, 瑞稀 engine_global"
0x3EA,1002,VAR_ENGINE_3EA,Value,UNCLASSIFIED,low,"[sync_chase] 30 heroes, 36 loadouts engine_global"
0x3F9,1017,VAR_人格复制_3F9,Value,ABILITY_STATE,low,[sync] 回声/人格复制 @ 技能 3 per_ability
0x401,1025,VAR_ENGINE_401,Value,UNCLASSIFIED,low,"[cross_graph] 47 heroes, 5 loadouts engine_global"
0x406,1030,VAR_ENGINE_406,Value,UNCLASSIFIED,low,[sync] 士兵：76/战术目镜 @ 技能 3 engine_global
0x41B,1051,VAR_红外侦测_41B,Value,ABILITY_STATE,low,[sync] 黑百合/红外侦测 @ 技能 3 per_ability
0x48C,1164,VAR_ENGINE_48C,Value,UNCLASSIFIED,low,"[sync] heroes: 法老之鹰, 美, 骇灾, 安燃 engine_global"
0x48D,1165,VAR_ENGINE_48D_FLAG,Status,LIFECYCLE,low,"[sync_flag] 9 heroes, 10 loadouts engine_global|status_flag"
0x490,1168,VAR_冰墙_490,Value,ABILITY_STATE,low,[sync] 美/冰墙 @ 技能 2 per_ability
0x497,1175,VAR_UNKNOWN_497,Status,LIFECYCLE,low,"[sync_flag] heroes: 路霸, 布丽吉塔, 瑞稀 multi_hero_shared|status_flag"
0x49B,1179,VAR_ENGINE_49B_CHASE,Value,CHASE_VAR,low,"[sync_chase] 7 heroes, 7 loadouts engine_global|chased_numeric"
0x49E,1182,VAR_ENGINE_49E,Value,UNCLASSIFIED,low,"[sync_writable] 49 heroes, 15 loadouts engine_global"
0x4A0,1184,VAR_UNKNOWN_4A0,Status,LIFECYCLE,low,"[cross_graph_flag] heroes: 布丽吉塔, 斩仇 multi_hero_shared|status_flag"
0x4A2,1186,MEI_ICICLE,Value,WEAPON_PARAM,manual,[csv-only]
0x4A4,1188,VAR_UNKNOWN_4A4,Status,LIFECYCLE,low,"[sync_flag] heroes: 渣客女王, 生命之梭, 瑞稀 multi_hero_shared|status_flag"
0x4AC,1196,VAR_呼吸器_FLAG_4AC,Status,ABILITY_STATE,low,[sync_flag] 路霸/呼吸器 @ 技能 2 per_ability|status_flag
0x4AE,1198,VAR_UNKNOWN_4AE,Unknown,UNCLASSIFIED,low,"[sync_chase] heroes: 路霸, 骇灾 multi_hero_shared"
0x4B0,1200,VAR_部署炮台_4B0,Value,ABILITY_STATE,low,[sync] 托比昂/部署炮台 @ 技能 1 per_ability
0x4B7,1207,VAR_ENGINE_4B7,Value,UNCLASSIFIED,low,"[sync] 6 heroes, 2 loadouts engine_global"
0x4B9,1209,VAR_ENGINE_4B9,Value,UNCLASSIFIED,low,"[sync] 10 heroes, 0 loadouts engine_global"
0x4BB,1211,VAR_ENGINE_4BB_FLAG,Status,LIFECYCLE,low,"[sync_flag] 5 heroes, 5 loadouts engine_global|status_flag"
0x4BC,1212,VAR_ENGINE_4BC_FLAG,Status,LIFECYCLE,low,"[sync_flag] 7 heroes, 7 loadouts engine_global|status_flag"
0x4BE,1214,VAR_ENGINE_4BE,Value,UNCLASSIFIED,low,"[sync] 13 heroes, 13 loadouts engine_global"
0x4C0,1216,VAR_ENGINE_4C0_FLAG,Status,LIFECYCLE,low,"[sync_flag] heroes: 堡垒, 破坏球, 拉玛刹, 飞天猫 engine_global|status_flag"
0x4C5,1221,VAR_UNKNOWN_4C5,Status,LIFECYCLE,low,"[sync_flag] heroes: 黑百合, 破坏球 multi_hero_shared|status_flag"
0x4CA,1226,VAR_ENGINE_4CA,Value,UNCLASSIFIED,low,"[sync] 50 heroes, 5 loadouts engine_global"
0x4ED,1261,VAR_UNKNOWN_4ED,Unknown,UNCLASSIFIED,low,"[sync_chase] heroes: 路霸, 布丽吉塔 multi_hero_shared"
0x4EE,1262,VAR_UNKNOWN_4EE,Unknown,UNCLASSIFIED,low,"[sync_chase] heroes: 黑百合, 布丽吉塔, 骇灾 multi_hero_shared"
0x4F9,1273,SOMBRA_INVIS,Status,BUFF_BENEFIT,manual,"[sync_flag] 50 heroes, 34 loadouts engine_global|status_flag; [csv-override]"
0x4FA,1274,VAR_集结号令_4FA,Value,ABILITY_STATE,low,[sync] 布丽吉塔/集结号令 @ 技能 3 per_ability
0x516,1302,VAR_脉冲星飞雷_516,Value,ABILITY_STATE,low,[sync] 朱诺/脉冲星飞雷 @ 辅助攻击模式 per_ability
0x539,1337,VAR_强攻模式_539,Value,ABILITY_STATE,low,[sync] 堡垒/强攻模式 @ 主要攻击模式 per_ability
0x543,1347,VAR_UNKNOWN_543,Status,LIFECYCLE,low,"[sync_flag] heroes: 卢西奥, 雾子 multi_hero_shared|status_flag"
0x547,1351,VAR_女武神_547,Value,ABILITY_STATE,low,[sync] 天使/女武神 @ 技能 3 per_ability
0x54E,1358,VAR_火箭弹幕_54E,Value,ABILITY_STATE,low,[sync] 法老之鹰/火箭弹幕 @ 技能 3 per_ability
0x5E2,1506,WEAPON_MODE,Value,WEAPON_PARAM,manual,[csv-only]
0x635,1589,VAR_撼地猛刺_635,Value,ABILITY_STATE,low,[sync] 奥丽莎/撼地猛刺 @ 技能 3 per_ability
0x636,1590,VAR_ENGINE_636_FLAG,Status,LIFECYCLE,low,"[sync_flag] 7 heroes, 7 loadouts engine_global|status_flag"
0x63E,1598,VAR_ENGINE_63E,Value,UNCLASSIFIED,low,"[sync] heroes: 狂鼠, D.Va, 黑影, 毛加 engine_global"
0x640,1600,VAR_战术目镜_FLAG_640,Status,ABILITY_STATE,low,[sync_flag] 士兵：76/战术目镜 @ 技能 3 per_ability|status_flag
0x644,1604,VAR_ENGINE_644,Value,UNCLASSIFIED,low,"[sync] heroes: 莫伊拉, 索杰恩, 西格玛, 安燃 engine_global"
0x64C,1612,VAR_禅雅塔_SHARED_64C,Value,ABILITY_STATE,low,"[sync_writable] 禅雅塔: 谐, 乱 per_ability"
0x651,1617,WEAPON_GAUGE,Value,WEAPON_PARAM,manual,[csv-only]
0x654,1620,VAR_地壳震击_654,Value,ABILITY_STATE,low,[sync] 探奇/地壳震击 @ 技能 3 per_ability
0x65A,1626,VAR_ENGINE_65A,Value,UNCLASSIFIED,low,"[sync] heroes: 秩序之光, 狂鼠, D.Va, 毛加 engine_global"
0x65B,1627,VAR_重力坠击_65B,Value,ABILITY_STATE,low,[sync] 破坏球/重力坠击 @ 下蹲 per_ability
0x65D,1629,VAR_UNKNOWN_65D,Status,LIFECYCLE,low,"[sync_flag] heroes: 拉玛刹, 骇灾 multi_hero_shared|status_flag"
0x65E,1630,VAR_ENGINE_65E,Value,UNCLASSIFIED,low,[cross_graph] 半藏/跃 @ 跳跃 engine_global
0x65F,1631,VAR_ENGINE_65F,Value,UNCLASSIFIED,low,[cross_graph] 半藏/跃 @ 跳跃 engine_global
0x66A,1642,VAR_切换模式_66A,Value,ABILITY_STATE,low,[local_writable] 堡垒/切换模式 @ 技能 1 per_ability
0x670,1648,VAR_ENGINE_670,Value,UNCLASSIFIED,low,"[sync_writable] 22 heroes, 30 loadouts engine_global"
0x679,1657,VAR_ENGINE_679,Value,UNCLASSIFIED,low,"[sync] 8 heroes, 9 loadouts engine_global"
0x67C,1660,VAR_冲锋_67C,Value,ABILITY_STATE,low,[sync] 莱因哈特/冲锋 @ 技能 1 per_ability
0x68A,1674,VAR_哨戒炮_68A,Value,ABILITY_STATE,low,[sync] 秩序之光/哨戒炮 @ 技能 1 per_ability
0x68C,1676,VAR_ENGINE_68C_FLAG,Status,LIFECYCLE,low,"[sync_flag] 10 heroes, 10 loadouts engine_global|status_flag"
0x68D,1677,VAR_脉冲星飞雷_68D,Value,ABILITY_STATE,low,[local_writable] 朱诺/脉冲星飞雷 @ 辅助攻击模式 per_ability
0x6A7,1703,VAR_呼吸器_6A7,Value,ABILITY_STATE,low,[sync] 路霸/呼吸器 @ 技能 2 per_ability
0x6B9,1721,VAR_竜_6B9,Value,ABILITY_STATE,low,[sync] 半藏/竜 @ 技能 3 per_ability
0x6BC,1724,VAR_ENGINE_6BC,Value,UNCLASSIFIED,low,"[sync_writable] 15 heroes, 15 loadouts engine_global"
0x6C7,1735,VAR_切歌_FLAG_6C7,Status,ABILITY_STATE,low,[sync_flag] 卢西奥/切歌 @ 技能 1 per_ability|status_flag
0x6C8,1736,VAR_ENGINE_6C8,Value,UNCLASSIFIED,low,"[sync_writable] 50 heroes, 0 loadouts engine_global"
0x6C9,1737,VAR_温斯顿_SHARED_6C9,Unknown,UNCLASSIFIED,low,[sync] 温斯顿:  multi_hero_shared
0x6D8,1752,VAR_ENGINE_6D8,Value,UNCLASSIFIED,low,"[sync] 6 heroes, 7 loadouts engine_global"
0x6EA,1770,VAR_ENGINE_6EA,Value,UNCLASSIFIED,low,"[sync] heroes: 死神, 堡垒, 索杰恩, 西格玛 engine_global"
0x6F1,1777,VAR_传送面板_6F1,Value,ABILITY_STATE,low,[sync] 秩序之光/传送面板 @ 技能 2 per_ability
0x6F6,1782,VAR_ENGINE_6F6_FLAG,Status,LIFECYCLE,low,"[sync_flag] 6 heroes, 6 loadouts engine_global|status_flag"
0x6FC,1788,VAR_呼叫机甲_6FC,Value,ABILITY_STATE,low,[sync_writable] D.Va/呼叫机甲 @ 技能 3 per_ability
